DATAFLOW,LAST UPDATE,freq,duration,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,France,2017,13.8,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,France,2018,14.0,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,France,2019,14.2,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,France,2020,13.2,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,France,2021,14.2,bd,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,France,2022,15.9,d,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,France,2023,15.9,d,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,France,2024,14.9,d,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,France,2025,14.0,d,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Croatia,2016,13.7,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Croatia,2017,14.4,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Croatia,2018,14.1,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Croatia,2019,12.7,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Croatia,2020,9.9,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Croatia,2021,10.4,b,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Croatia,2022,12.9,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Croatia,2023,11.0,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Croatia,2024,10.8,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Croatia,2025,8.1,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Hungary,2016,15.0,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Hungary,2017,13.9,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Hungary,2018,13.7,b,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Hungary,2019,14.0,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Hungary,2020,14.2,,
